review,garage service positive,ease of booking positive,processed_text,sentiment,subthemes
"Great mid range tyres at a good price, probably a slightly softer ride on 20 inch rims which is no bad thing.Garage were excellent as usual, replacing my space saver and fitting that back into the wheel well in the boot which is fiddly.",value for money positive,tyre quality positive,"['Great', 'mid', 'range', 'tyres', 'good', 'price', ',', 'probably', 'slightly', 'softer', 'ride', '20', 'inch', 'rims', 'bad', 'thing.Garage', 'excellent', 'usual', ',', 'replacing', 'space', 'saver', 'fitting', 'back', 'wheel', 'well', 'boot', 'fiddly', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Tyres were well priced, but the garage was on a go slow, took over an hour to get fitted, was only one other customer in front of me",garage service negative,length of fitting negative,"['Tyres', 'well', 'priced', ',', 'garage', 'go', 'slow', ',', 'took', 'hour', 'get', 'fitted', ',', 'one', 'customer', 'front']",negative,"{'garage service': 'negative', 'incorrect tyres': 'negative'}"
"Excellent service. Quick, easy and cheaper than high street. Highly recommend",value for money positive,,"['Excellent', 'service', '.', 'Quick', ',', 'easy', 'cheaper', 'high', 'street', '.', 'Highly', 'recommend']",positive,{'garage service': 'positive'}
"Good, reliable service at a competitive price.",value for money positive,,"['Good', ',', 'reliable', 'service', 'competitive', 'price', '.']",positive,{'garage service': 'positive'}
Online experience was good but fitment service by your pit stop in Milton Keynes was poor,garage service negative,,"['Online', 'experience', 'good', 'fitment', 'service', 'pit', 'stop', 'Milton', 'Keynes', 'poor']",positive,{'garage service': 'positive'}
"Shocking service. I ordered four tyres on 25 June to be fitted on 4 July. On the evening of 3 July I had a phone call telling me the tyres hadn't been delivered to the garage. On 4 July I had several emails from different Customer Service staff telling me differing things - I was re-booked for Sat 6 July, I was re-booked for Mon 8 July... in the end I had to call but the person I spoke to still didn't really know what was going on. I demanded my tyres be fitted on 6 July. Thankfully they were. I had arranged my work around d the fitting on 4 July and had to instead use part of my weekend instead. I won't be using [REDACTED] again.",advisor/agent service negative,change of date negative,"['Shocking', 'service', '.', 'ordered', 'four', 'tyres', '25', 'June', 'fitted', '4', 'July', '.', 'evening', '3', 'July', 'phone', 'call', 'telling', 'tyres', ""n't"", 'delivered', 'garage', '.', '4', 'July', 'several', 'emails', 'different', 'Customer', 'Service', 'staff', 'telling', 'differing', 'things', '-', 're-booked', 'Sat', '6', 'July', ',', 're-booked', 'Mon', '8', 'July', '...', 'end', 'call', 'person', 'spoke', 'still', ""n't"", 'really', 'know', 'going', '.', 'demanded', 'tyres', 'fitted', '6', 'July', '.', 'Thankfully', '.', 'arranged', 'work', 'around', 'fitting', '4', 'July', 'instead', 'use', 'part', 'weekend', 'instead', '.', 'wo', ""n't"", 'using', '[', 'REDACTED', ']', '.']",negative,"{'garage service': 'negative', 'incorrect tyres': 'negative'}"
Everything as arranged. Even a free coffee whilst I waited:-)),garage service positive,facilities positive,"['Everything', 'arranged', '.', 'Even', 'free', 'coffee', 'whilst', 'waited', ':', '-', ')', ')']",positive,{'wait time': 'positive'}
"EASY SIMPLE. I was waiting for the depot to open at 8am and was the first customer of the day. I handed over the receipt, my car keys and the location of the wheel lock device and went to a cafe to get a coffee. I returned 30 minutes later and my car was parked outside with one new tyre as ordered. Simple!",facilities positive,length of fitting positive,"['EASY', 'SIMPLE', '.', 'waiting', 'depot', 'open', '8am', 'first', 'customer', 'day', '.', 'handed', 'receipt', ',', 'car', 'keys', 'location', 'wheel', 'lock', 'device', 'went', 'cafe', 'get', 'coffee', '.', 'returned', '30', 'minutes', 'later', 'car', 'parked', 'outside', 'one', 'new', 'tyre', 'ordered', '.', 'Simple', '!']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
Very easy to book and simple to fit and so many garages to choose from. So simple and hassle free,location positive,ease of booking positive,"['easy', 'book', 'simple', 'fit', 'many', 'garages', 'choose', '.', 'simple', 'hassle', 'free']",positive,{'garage service': 'positive'}
"Mid range tyres. The mid range tyres I bought 2 years ago started cracking in the treads,I contacted [REDACTED] who agreed they must have been faulty & refunded me 60 % ,towards a new set,which I didn’t have to buy from them but I did ( a higher spec) & so far so good. So can’t knock their customer service.",tyre quality negative,advisor/agent service positive,"['Mid', 'range', 'tyres', '.', 'mid', 'range', 'tyres', 'bought', '2', 'years', 'ago', 'started', 'cracking', 'treads', ',', 'contacted', '[', 'REDACTED', ']', 'agreed', 'must', 'faulty', '&', 'refunded', '60', '%', ',', 'towards', 'new', 'set', ',', '’', 'buy', '(', 'higher', 'spec', ')', '&', 'far', 'good', '.', '’', 'knock', 'customer', 'service', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Excellent service, good price, convenient location. Not 5 stars as an independent was a couple of pounds per tyre cheaper - but the location was not as convenient.",value for money negative,location positive,"['Excellent', 'service', ',', 'good', 'price', ',', 'convenient', 'location', '.', '5', 'stars', 'independent', 'couple', 'pounds', 'per', 'tyre', 'cheaper', '-', 'location', 'convenient', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Great savings on a premium tyre,value for money positive,tyre quality positive,"['Great', 'savings', 'premium', 'tyre']",positive,{'incorrect tyres': 'positive'}
"The lady that dealt with me was especially helpful, polite and courteous. I had a query about work I had been told would need doing and the lady arranged for my car to be put up on a ramp where a mechanic could take a look who assured me there wasn't a lot to worry about at this stage which put my mind at ease. I was very impressed with the way I was treated.",garage service positive,,"['lady', 'dealt', 'especially', 'helpful', ',', 'polite', 'courteous', '.', 'query', 'work', 'told', 'would', 'need', 'lady', 'arranged', 'car', 'put', 'ramp', 'mechanic', 'could', 'take', 'look', 'assured', ""n't"", 'lot', 'worry', 'stage', 'put', 'mind', 'ease', '.', 'impressed', 'way', 'treated', '.']",positive,{}
"Fantastic service. Arrived 15 mins early and car was taken straight away to change tyre. Friendly service, keep up the good work!",garage service positive,wait time positive,"['Fantastic', 'service', '.', 'Arrived', '15', 'mins', 'early', 'car', 'taken', 'straight', 'away', 'change', 'tyre', '.', 'Friendly', 'service', ',', 'keep', 'good', 'work', '!']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Easy selection of tyre type at a very competitive price. Pleased to be able to select my referred fitting location. All in all a slick and easy process.,location positive,value for money positive,"['Easy', 'selection', 'tyre', 'type', 'competitive', 'price', '.', 'Pleased', 'able', 'select', 'referred', 'fitting', 'location', '.', 'slick', 'easy', 'process', '.']",positive,{'incorrect tyres': 'positive'}
"Great price, easy to order and fitting",garage service positive,value for money positive,"['Great', 'price', ',', 'easy', 'order', 'fitting']",positive,{}
1. Today if you can buy the very same product cheaper it makes common sense to. 2. I saved over £82.00 on 2 tyres fitted in the same premises where I would of paid more. 3. Using the website was easy straight forward and the whole experience was good.,value for money positive,,"['1', '.', 'Today', 'buy', 'product', 'cheaper', 'makes', 'common', 'sense', '.', '2', '.', 'saved', '£82.00', '2', 'tyres', 'fitted', 'premises', 'would', 'paid', '.', '3', '.', 'Using', 'website', 'easy', 'straight', 'forward', 'whole', 'experience', 'good', '.']",positive,{'incorrect tyres': 'positive'}
Excellent. Good selection of tyres on website with detailed information on specification. Local fitting at ATS. Efficient and helpful. Good price.,location positive,value for money positive,"['Excellent', '.', 'Good', 'selection', 'tyres', 'website', 'detailed', 'information', 'specification', '.', 'Local', 'fitting', 'ATS', '.', 'Efficient', 'helpful', '.', 'Good', 'price', '.']",positive,{'incorrect tyres': 'positive'}
"Easy to order but cheaper at the garage. Great to compare tyres, very easy you use and able to pay with PayPal but found it was cheaper to buy directly the same tyre at the garage.",value for money negative,,"['Easy', 'order', 'cheaper', 'garage', '.', 'Great', 'compare', 'tyres', ',', 'easy', 'use', 'able', 'pay', 'PayPal', 'found', 'cheaper', 'buy', 'directly', 'tyre', 'garage', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Useful service. Saves phoning round for the tyre you want. I just took the wheel to the garage and 10 mins later it was all done.,length of fitting positive,,"['Useful', 'service', '.', 'Saves', 'phoning', 'round', 'tyre', 'want', '.', 'took', 'wheel', 'garage', '10', 'mins', 'later', 'done', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Ease of ordering, choice of tyres, good price and local fitters.",location positive,value for money positive,"['Ease', 'ordering', ',', 'choice', 'tyres', ',', 'good', 'price', 'local', 'fitters', '.']",positive,{'incorrect tyres': 'positive'}
"nice, great customer service, fast and to the point",advisoragent service positive,,"['nice', ',', 'great', 'customer', 'service', ',', 'fast', 'point']",positive,{'garage service': 'positive'}
Quick and easy to order. The garage could not fit my tyres during the time slot I selected during the purchase but [REDACTED] kept me informed all the time and communicated promptly,advisor/agent service positive,advisoragent service positive,"['Quick', 'easy', 'order', '.', 'garage', 'could', 'fit', 'tyres', 'time', 'slot', 'selected', 'purchase', '[', 'REDACTED', ']', 'kept', 'informed', 'time', 'communicated', 'promptly']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Very good customer service, timely appointment and very accomodative",garage service positive,advisoragent service positive,"['good', 'customer', 'service', ',', 'timely', 'appointment', 'accomodative']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
Great service spot on times and veey. Great service spot on times and very helpful staff,garage service positive,wait time positive,"['Great', 'service', 'spot', 'times', 'veey', '.', 'Great', 'service', 'spot', 'times', 'helpful', 'staff']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
"Easy ordering, keen prices. I just need a fitting service a little nearer to home.",value for money positive,location negative,"['Easy', 'ordering', ',', 'keen', 'prices', '.', 'need', 'fitting', 'service', 'little', 'nearer', 'home', '.']",positive,{'garage service': 'positive'}
"very good. [REDACTED] were great, they gave me clear options of tyres that fitted my wheels, gave clear instructions on what to bring to my appointment, sent me text reminders close to my appointment etc.. and my overall experience with them was very easy :)",advisoragent service positive,,"['good', '.', '[', 'REDACTED', ']', 'great', ',', 'gave', 'clear', 'options', 'tyres', 'fitted', 'wheels', ',', 'gave', 'clear', 'instructions', 'bring', 'appointment', ',', 'sent', 'text', 'reminders', 'close', 'appointment', 'etc', '..', 'overall', 'experience', 'easy', ':', ')']",positive,{'incorrect tyres': 'positive'}
